round,epsilon,use_reputation,mean_global_f1,node_0_f1,node_1_f1,node_2_f1,node_3_f1,node_4_f1,trust_0,trust_1,trust_2,trust_3,trust_4,poison_active
1,0.1,True,0.4348,0.4054,0.6329,0.2609,0.3464,0.5282,0.4054,0.6329,0.2609,0.3464,0.5282,False
2,0.1,True,0.4173,0.6716,0.5781,0.1891,0.3739,0.2738,0.5385,0.6055,0.225,0.3602,0.401,False
3,0.1,True,0.6934,0.7973,0.8777,0.4924,0.7931,0.5064,0.6248,0.6962,0.3141,0.5045,0.4361,False
4,0.1,True,0.6471,0.5198,0.8382,0.3814,0.6154,0.8806,0.6629,0.7647,0.3543,0.5941,0.5536,False
5,0.1,True,0.8028,0.9796,0.8671,0.9286,0.5837,0.655,0.7656,0.861,0.6008,0.664,0.6807,False
6,0.1,True,0.6231,0.7177,0.6435,0.2994,0.6224,0.8323,0.739,0.7829,0.5364,0.6071,0.7893,False
7,0.1,True,0.5479,0.5714,0.5037,0.4848,0.6239,0.5556,0.7562,0.6714,0.5709,0.61,0.681,False
8,0.1,True,0.8294,0.9404,0.9474,0.5134,0.9116,0.8344,0.7432,0.6982,0.4325,0.7193,0.7407,False
9,0.1,True,0.7126,0.8304,0.6278,0.6881,0.6995,0.7172,0.7807,0.693,0.5621,0.745,0.7024,False
10,0.1,True,0.8043,0.8304,0.7136,0.8889,0.7978,0.7907,0.8671,0.7629,0.6968,0.803,0.7807,False
